BLOOM,CRF
complementação de construção de muro de contenção a Rua João Teotônio Teixeira,construção de muro de contenção a Rua João Teotônio Teixeira
prestação de serviços especializados de consultoria técnica visando o acompanhamento de todo o processo licitatório para contratação de agência de publicidade,
LOCAÇÃO DO IMÓVEL PARA FUNCIONAMENTO DA BIBLIOTECA MUNICIPAL EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCAÇÃO,LOCAÇÃO DO IMÓVEL PARA FUNCIONAMENTO DA BIBLIOTECA MUNICIPAL
prestação de serviços de Plotagem de Projetos,Plotagem de Projetos
Aquisição de medicamentos de linha veterinária,medicamentos de linha veterinária para ações do Programa de Controle de Leishmaniose
Aquisição de material médico hospitalar para atender aos setores,material médico hospitalar para atender aos setores
LOTE 01,
DIAGNOSTICO POR IMAGEM NOROESTE FLUMINENSE LTDA,
Módulos Sanitários,
consulta medica de ORTOPEDIA,Credenciamento de pessoa jurídica especializada na realização de consulta medica de ORTOPEDIA
RECAPEAMENTO ASFÁLTICO,
tambores,tambores para serem instalados nos portais no período do carnaval 2015
FORNECIMENTO E ADMINISTRAÇÃO DE CARTÃO MAGNÉTICO OU COM CHIP DESTINADO AO PAGAMENTO DE BENEFICIO ASSISTENCIAL – PROGRAMA DE TRANSFERÊNCIA DE,
Empreitada global para contratação empresa para execução de rede esgoto no bairro Jose Batista Paixão,execução de rede esgoto no bairro Jose Batista Paixão
Manutenção da Atividade da Secretaria da Câmara,
Serviços de Consultoria,
WHITE MARTINS GASES INDUSTRIAIS LTDA,
óleo diesel – S10 para a frota Municipal,óleo diesel – S10
Tablets para atendimento do Programa Saúde Familiar,Tablets
medicamentos contidos na Tabela CMED- CÂMARA DE REGULAÇÃO DE MERCADO DE MEDICAMENTOS,aquisição futura e parcelada de medicamentos contidos na Tabela CMED- CÂMARA DE REGULAÇÃO DE MERCADO DE MEDICAMENTOS
revisão dos veículos em garantia,Realização de prorrogação contratual para prestação de serviços de revisão dos veículos em garantia
Contratação de profissional especializado para prestação de serviços de arquiteto ou design para elaboração de projeto arquitetônico de interiores de móveis planejados completos com apresentação e renderização em 2D e 3D.,Contratação de profissional especializado para prestação de serviços de arquiteto ou design para elaboração de projeto arquitetônico de interiores de móveis planejados completos
Show do Grupo Rastapé,
contratação de empresa para fornecimento de fraldas descartáveis infantis e geriátricas,fraldas descartáveis infantis e geriátricas
AQUISIÇÃO DE BEBEDOUROS,BEBEDOUROS
equoterapia,prestação de serviço de equoterapia
Aquisição de materiais para as Oficinas de Artesanato do PAIF e SCFV,materiais para as Oficinas de Artesanato do PAIF e SCFV
leite integral,leite integral 1000ml UHT
Retroescavadeira,Retroescavadeira para manutenção das estradas vicinais do município
Alimento,Alimento na qualidade
SONORIZAÇÃO PARA A XXIX FESTA DO PEAO DE BOIADEIRO DE TARUMIRIM,SONORIZAÇÃO
prestação de Serviços de Contabilidade Pública,
COMBUSTÍVEL,
REFORMA E AMPLIAÇÃO DO CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL RAYMUNDO MENDONÇA – CMEI GRÃO PARÁ,REFORMA E AMPLIAÇÃO DO CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL
Confecção de Próteses Dentárias,Contratação de Empresa Para Prestação de Serviços de Confecção de Próteses Dentárias
de acordo com a Política Nacional de Saúde Bucal – Brasil Sorridente,
prestacao de servicos de confecção e instalação de letreiros em aço inox e toldo em prédios públicos do município,letreiros em aço inox e toldo em prédios públicos do município
contratação de empresa especializada para a execução de obra de recapeamento asfáltico CBUQ e construção de calçadas em ruas e avenidas do Município,recapeamento asfáltico CBUQ e construção de calçadas em ruas e avenidas do Município
Realização de Concurso Público nº 01/2017,Concurso Público nº 01/2017
Mapeamento Produtivo Rural,consultoria para a elaboração do Mapeamento Produtivo Rural do Município de Santa Bárbara
MAPEAMENTO PRODUTIVO RURAL,
TRANSPORTE DE PASSAGEIROS,PRESTAÇÃO DE SERVIÇO DE TRANSPORTE DE PASSAGEIROS
Assentamento de Tubulão e mata burro incluindo fornecimento e transporte de todos os materiais e mão de obra para calçamento em bloquetes da Rua Sempre Viva,calçamento em bloquetes da Rua Sempre Viva
PERFURAÇÃO DE POÇOS ARTESIANOS,
livros educativos,livros educativos para atender ao Programa Saúde na Escola
-ERRATA- EDITAL Nº 09/2020 PREGÃO ELETRÔNICO PROCESSO 29/2020 DA PREFEITURA MUNICIPAL DE GUARDA MOR- MG.ANEXO III -Excluir a necessidade,
professor de música,
locação de stands,
DEDETIZAÇÃO E DESRATIZAÇÃO,
REGISTRO DE PREÇOS PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE TUBOS DE ESGOTO PARA MANUTENÇÃO DA REDE DE ESGOTAMENTO SANITÁRIO,TUBOS DE ESGOTO PARA MANUTENÇÃO DA REDE DE ESGOTAMENTO SANITÁRIO
organização de Motocross e Encontro de som automotivo,
Registro de preço para futura e eventual aquisição de carga de oxigênio e ar comprimido medicinal,carga de oxigênio e ar comprimido medicinal
Equipamentos para Cozinha e Refeitórios Escolares,Aquisição Equipamentos para Cozinha e Refeitórios Escolares
Fornecimento de Material de construção,Material de construção para atender as necessidades da Secretaria Municipal de Obras Públicas e Serviços do Município de Santana do Riacho – MG
locação de sanitários químicos,sanitários químicos
CAMISETAS DESTINADAS A FORMATURA DOS ALUNOS DOS 5º ANOS,CAMISETAS
APARELHO GEOFONE DIGITAL,APARELHO GEOFONE DIGITAL PARA A DIVISÃO DE ÁGUAS E ESGOTO DESTA AUTARQUIA
Aquisição de motocicletas,motocicletas
suplemento alimentar,suplemento alimentar para atender pacientes UBS- Unidade Básica de Saúde- Secretaria Municipal de Saúde do Município de Oratórios
Pérola Negra Produções Artísticas Ltda-ME,
serviços de mão de obra para instalação da imagem no monitor do setor de Química,mão de obra para instalação da imagem no monitor do setor de Química
CONSTRUÇÃO DE JAZIGOS NO CEMITÉRIO PARQUE DO ESPIRITO SANTO E CEMITÉRIO DE SANTO ANTÔNIO DOS CAMPOS,CONSTRUÇÃO DE JAZIGOS NO CEMITÉRIO PARQUE DO ESPIRITO SANTO
Sociedade advogados,
aquisição e instalação de plataforma elevatória no Museu Antoniano,plataforma elevatória no Museu Antoniano
AQUISIÇÃO DE CAMISETAS E COLETES PERSONALIZADOS PARA A EQUIPE DE ENDEMIAS CONFORME SOLICITAÇÃO DA SECRETARIA MUNICIPAL DE SAÚDE DA PREFEITURA,CAMISETAS E COLETES PERSONALIZADOS PARA A EQUIPE DE ENDEMIAS
MANUTENÇÃO E SUPORTE TÉCNICO NAS ANTENAS DE RECEPÇÃO DE DIVERSOS CANAIS DE TELEVISÃO,TÉCNICO EM ELETRÔNICA PARA MANUTENÇÃO E SUPORTE TÉCNICO NAS ANTENAS DE RECEPÇÃO DE DIVERSOS CANAIS DE TELEVISÃO
FERRAMENTAS MANUAIS PARA CONSTRUÇÃO CIVIL,
BANDA ASUS,
Contratação da empresa Raridade Produções com apresentação do cantor Tau Brasil no Cerimonial de consolidação de Lançamento do SELO UNICEF,
AMPLIAÇÃO E ADEQUAÇÕES NO PRÉDIO DA TURMA VINCULADA À CRECHE SANTA CLARA,
brinquedos diversos,aquisição de brinquedos diversos para atender as necessidades das escolas da Rede Municipal de Ensino que atendem a Educação Infantil
locação de imóvel residencial,locação de imóvel residencial na Rua Washington Cançado
GÁS MEL LTDA EPP,
prestação de serviço especializado de perfuração de poços artesianos no município,Registro de preços para eventual prestação de serviço especializado de perfuração de poços artesianos no município
Fornecimento de Sistemas Integrados de Gestão Publica Assinatura,Sistemas Integrados de Gestão Publica
Água Mineral 20 litros e Gás GLP P-13,Água Mineral 20 litros
Contratação de empresa especializada em atendimento fonoaudiológico ou profissional fonoaudiólogo para manutenção da Secretaria Municipal de Saúde,
Prestação de Serviços Técnicos Especializados em Assessoria Contábil e Administrativa para Prefeitura Municipal,Contratação de Pessoa Física ou Jurídica para Prestação de Serviços Técnicos Especializados em Assessoria Contábil e Administrativa para Prefeitura Municipal
LOCAÇÃO DE SOFTWARE INTEGRADO DE GESTÃO PÚBLICA PARA ATENDER O MUNICÍPIO DE CÔNEGO MARINHO – MG,LOCAÇÃO DE SOFTWARE INTEGRADO DE GESTÃO PÚBLICA
coletes balístico e spray de gengibre para a Guarda Civil Municipal,aquisição de coletes balístico e spray de gengibre para a Guarda Civil Municipal
LOCAÇÃO DE EQUIPAMENTOS ELETRÔNICOS,LOCAÇÃO DE EQUIPAMENTOS ELETRÔNICOS PARA O PROGRAMA ESTRATÉGIA DO PETI E ACESSUAS TRABALHO
vassoura piaçava,
elaboração de Termo de Referência a ser utilizado para contratação de projetos executivos necessários para a implantação de Parque Urbano no município de Pirapora,
prestação de serviços de borracharia e serviços de solda,serviços de borracharia e serviços de solda
RECAPEAMENTO SOBRE POLIÉDRICO EM CONCRETO BETUMINOSO USINADO A QUENTE NAS VIAS URBANAS E DO PARQUE DE EXPOSIÇÕES DO MUNICÍPIO DE PERDIGÃO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE RECAPEAMENTO SOBRE POLIÉDRICO EM CONCRETO BETUMINOSO USINADO A QUENTE NAS VIAS URBANAS E DO PARQUE DE EXPOSIÇÕES
prancha serrada,
urnas e serviços funerários,
AQUISIÇÃO DE AGUA MINERAL E VASILHAMES E GAS GLP E VASILHAMES PARA MANUTENCAO DAS ACOES DESTA ADMINISTRACAO,AGUA MINERAL E VASILHAMES E GAS GLP E VASILHAMES PARA MANUTENCAO DAS ACOES DESTA ADMINISTRACAO
REFEIÇÃO SEM BALANÇA NA CIDADE DE GOVERNADOR VALADARES,REFEIÇÃO SEM BALANÇA
banda Retrô BH,show musical da banda Retrô BH no evento de Comemoração a 78o Festa da Padroeira de Nossa Senhora das Neves 2017
BANDA RETRÔ BH,
rolo compactador,01 rolo compactador
materiais e equipamentos de telefonia para atender as necessidades da Câmara Municipal de Curvelo,materiais e equipamentos de telefonia
pedra britada,Aquisição parcelada de pedra britada 0 para pavimentação de estrada do Distrito de Senador Mourão
Contratação de empresa para fornecimento estimado e,
CONTRATACAO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE CADEIRA VEICULAR E BEBE CONFORTO PARA TRANSPORTES DE CRIANCAS,
Biblioteca Municipal,
serviços de reforma de pneus,reforma de pneus
credenciamento de serviços de taxi,credenciamento de serviços de taxi para a administração municipal
seguro para drone,seguro
placas sob medida,
alimentação pronta,
fórmula láctea infantil,fórmula láctea infantil para suprir as demandas da Secretaria Municipal de Saúde
balsa tubular,aquisição de balsa tubular
serviços de desmontagem e montagem de caixa de câmbio e reposição de peças do veículo caminhão Ford Cargo placa HMN 8679,serviços de desmontagem e montagem de caixa de câmbio
Aquisição de Veículos Novos para Secretaria de Saúde e Administração,Veículos Novos
prestação de serviço na disponibilização do site para a emissão e controle de notas fiscais de serviços eletrônicas,
RESPIRADOR ELETRÔNICO,RESPIRADOR ELETRÔNICO E UM MONITOR MULTIPARAMÉTRICO PARA O PRONTO ATENDIMENTO MUNICIPAL
MONITOR MULTIPARAMÉTRICO,RESPIRADOR ELETRÔNICO E UM MONITOR MULTIPARAMÉTRICO PARA O PRONTO ATENDIMENTO MUNICIPAL
Locação de caminhão carroceria ¾ para atender a Secretaria de Desenvolvimento Urbano No trabalho de limpeza de bueiros,Locação de caminhão carroceria ¾
pavimentação de vias públicas com paralelepípedo,mão de obra especializada para realização de pavimentação de vias públicas com paralelepípedo e assentamento de meio fio
fornecimento de peças e equipamentos e serviços de manutenção dos equipamentos que compõem o sistema de abastecimento de água nas comunidades rurais deste município,fornecimento de peças e equipamentos e serviços de manutenção dos equipamentos que compõem o sistema de abastecimento de água
internet,
adesivos,
CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE FOGOS DE ARTIFÍCIOS,FOGOS DE ARTIFÍCIOS
forma plástica de bloquete para piso raquete FP 019 para atender a Secretaria Municipal de Obras e Serviços Públicos,Fornecimento de materiais – forma plástica de bloquete para piso raquete FP 019
CONSTRUÇÃO DA FARMÁCIA DE MINAS COM RECURSOS PRÓPRIOS E DO ESTADO,CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA CONSTRUÇÃO DA FARMÁCIA DE MINAS
PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS EM HIDROTERAPIA,SERVIÇOS ESPECIALIZADOS EM HIDROTERAPIA
material de construção objetivando a reforma e revitalização da praça das andorinhas,reforma e revitalização da praça das andorinhas
Vesperata e da Seresta,
nebulizador hospitalar,
equipamentos de rua de lazer,
execução de obras de pavimentação asfáltica e drenagem na Rua Getúlio Vargas,obras de pavimentação asfáltica
compactadores de solo,prestação de serviço com compactadores de solo
prensa enfardadeira,
Registro de preços – Aquisição de vestuários e calçados,Aquisição de vestuários e calçados
projeto elétrico para extensão de rede urbana com ART do Crea para atender sete localidades do Município de Recreio-MG,extensão de rede urbana com ART do Crea
GÊNEROS ALIMENTÍCIOS PARA DIVERSOS SETORES,
execução de serviços de recapeamento asfáltico em diversas ruas e avenidas urbanas do Municipio,recapeamento asfáltico em diversas ruas e avenidas urbanas do Municipio
aplicativo integrado ao sistema de gestão pública Municipal de Divinópolis – MG,prestação de serviços de implantação e customização de um aplicativo integrado ao sistema de gestão pública Municipal de Divinópolis – MG
Item 01 – transporte em ambulância simples – unidade,
transporte em ambulância simples,
Registro de Preço para contratação de exames especializados,contratação de exames especializados
BGS- brita graduada simples,Aquisição de BGS- brita graduada simples
TECIDO MORIM,
execução de manutenção e recuperação de vias públicas localizadas no centro do Município de Lambari,
aquisição de ovos de pascoa para distribuição aos alunos da rede municipal de ensino e aos beneficiários dos projetos desenvolvidos pela secretaria de assistência social,
Transporte de materiais para recuperação de ponte,
IMPLEMENTAÇÃO DO CENTRO DE EVENTOS DO MUNICÍPIO – CONVÊNIO 0330.283.90/2010,
LEVANTAMENTO DE INFORMAÇÕES PARA SUBSIDIAR A ATUALIZAÇÃO DO PLANO DE MANEJO DA ÁREA DE PROTEÇÃO AMBIENTAL DO MUNICÍPIO DE CANAÃ,CONTRATAÇÃO DE EMPRESA PARA LEVANTAMENTO DE INFORMAÇÕES PARA SUBSIDIAR A ATUALIZAÇÃO DO PLANO DE MANEJO DA ÁREA DE PROTEÇÃO AMBIENTAL DO MUNICÍPIO DE CANAÃ
rotatória,
MATERIAIS DE CONSTRUÇÃO DIVERSOS,
FORNECIMENTO DE FOGOS DE ARTIFÍCIOS EGIRÂNDOLAS PARA EXECUÇÃO DE SHOWS PIROTÉCNICOS EM EVENTOS REALIZADOS PELO MUNICÍPIO,FOGOS DE ARTIFÍCIOS EGIRÂNDOLAS PARA EXECUÇÃO DE SHOWS PIROTÉCNICOS EM EVENTOS REALIZADOS
